generator,copyright,minlat,minlon,maxlat,maxlon,id,visible,version2,timestamp,uid,lat,lon
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057418,TRUE,5,2022-11-16T19:24:58Z,34927,52.128381,8.4182179
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057419,TRUE,8,2022-11-16T19:24:58Z,34927,52.1293157,8.4193767
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057449,TRUE,8,2022-11-16T19:24:58Z,34927,52.1302154,8.4209202
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057449,TRUE,8,2022-11-16T19:24:58Z,34927,52.1304137,8.4213647
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057449,TRUE,8,2022-11-16T19:24:58Z,34927,52.1279679,8.4160018
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057534,TRUE,5,2022-11-16T19:24:58Z,34927,52.1276225,8.4182322
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057535,TRUE,1,2008-09-02T05:21:37Z,35394,52.127694,8.4169567
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057536,TRUE,4,2022-11-16T19:24:58Z,34927,52.1266482,8.4160253
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057537,TRUE,4,2022-11-16T19:24:58Z,34927,52.1280133,8.4182537
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057566,TRUE,4,2018-03-31T17:04:39Z,34927,52.1273027,8.418228
